,name,sex,births,year
0,Mary,F,7065,1880
1,Anna,F,2604,1880
2,Emma,F,2003,1880
3,Elizabeth,F,1939,1880
4,Minnie,F,1746,1880
5,Margaret,F,1578,1880
6,Ida,F,1472,1880
7,Alice,F,1414,1880
8,Bertha,F,1320,1880
9,Sarah,F,1288,1880
10,Annie,F,1258,1880
11,Clara,F,1226,1880
12,Ella,F,1156,1880
13,Florence,F,1063,1880
14,Cora,F,1045,1880
15,Martha,F,1040,1880
16,Laura,F,1012,1880
17,Nellie,F,995,1880
18,Grace,F,982,1880
19,Carrie,F,949,1880
20,Maude,F,859,1880
21,Mabel,F,808,1880
22,Bessie,F,796,1880
23,Jennie,F,793,1880
24,Gertrude,F,787,1880
25,Julia,F,783,1880
26,Hattie,F,769,1880
27,Edith,F,768,1880
28,Mattie,F,704,1880
29,Rose,F,700,1880
30,Catherine,F,688,1880
31,Lillian,F,672,1880
32,Ada,F,652,1880
33,Lillie,F,647,1880
34,Helen,F,636,1880
35,Jessie,F,635,1880
36,Louise,F,635,1880
37,Ethel,F,633,1880
38,Lula,F,621,1880
39,Myrtle,F,615,1880
40,Eva,F,614,1880
41,Frances,F,605,1880
42,Lena,F,603,1880
43,Lucy,F,590,1880
44,Edna,F,588,1880
45,Maggie,F,582,1880
46,Pearl,F,569,1880
47,Daisy,F,564,1880
48,Fannie,F,560,1880
49,Josephine,F,544,1880
50,Dora,F,524,1880
51,Rosa,F,507,1880
52,Katherine,F,502,1880
53,Agnes,F,473,1880
54,Marie,F,471,1880
55,Nora,F,471,1880
56,May,F,462,1880
57,Mamie,F,436,1880
58,Blanche,F,427,1880
59,Stella,F,414,1880
60,Ellen,F,411,1880
61,Nancy,F,410,1880
62,Effie,F,406,1880
63,Sallie,F,404,1880
64,Nettie,F,403,1880
65,Della,F,391,1880
66,Lizzie,F,388,1880
67,Flora,F,365,1880
68,Susie,F,361,1880
69,Maud,F,345,1880
70,Mae,F,344,1880
71,Etta,F,323,1880
72,Harriet,F,319,1880
73,Sadie,F,317,1880
74,Caroline,F,306,1880
75,Katie,F,303,1880
76,Lydia,F,302,1880
77,Elsie,F,301,1880
78,Kate,F,299,1880
79,Susan,F,286,1880
80,Mollie,F,283,1880
81,Alma,F,277,1880
82,Addie,F,274,1880
83,Georgia,F,259,1880
84,Eliza,F,252,1880
85,Lulu,F,249,1880
86,Nannie,F,248,1880
87,Lottie,F,245,1880
88,Amanda,F,241,1880
89,Belle,F,238,1880
90,Charlotte,F,237,1880
91,Rebecca,F,236,1880
92,Ruth,F,234,1880
93,Viola,F,229,1880
94,Olive,F,224,1880
95,Amelia,F,221,1880
96,Hannah,F,221,1880
97,Jane,F,215,1880
98,Virginia,F,213,1880
99,Emily,F,210,1880
100,Matilda,F,210,1880
101,Irene,F,204,1880
